topic_id,phi_sum,theta_sum,h,top_terms,label,genre_travel,genre_domestic,genre_historical,genre_gothic,genre_sea,auth_MELVILLE,auth_AUSTEN,title_TYPEE A ROMANCE OF T,title_PIERRE OR THE AMBIGU,title_WHITE JACKET OR THE ,title_MARDI AND A VOYAGE T,title_LADY SUSAN,title_SENSE AND SENSIBILIT,title_MOBY DICK OR THE WHA,title_NORTHANGER ABBEY,title_ISRAEL POTTER HIS FI,title_OMOO ADVENTURES IN T,title_PERSUASION,title_REDBURN HIS FIRST VO,title_PRIDE AND PREJUDICE,title_LOVE AND FREINDSHIP ,title_THE CONFIDENCE MAN H,title_MANSFIELD PARK,title_EMMA,author,genre,title
0,4826.050260412941,14.093476211948175,6.12,sir said gentlemen mr young gentleman john lady,0: sir said gentlemen mr young gentleman john lady,0.01691450555645274,0.009979902058626271,0.034131625352473,0.00834508193868586,0.010842121228486974,0.012895806376405613,0.00937736764072881,0.0010172914097555201,0.009665845726927958,0.02943929817636374,0.0011941163902188874,0.013571382304518015,0.009345050477418782,0.008251469087000092,0.0034880796206342795,0.034131625352473,0.002125235732276557,0.01654379821701039,0.017610463020574132,0.006277174687095667,0.02112923821329517,0.036394787851676665,0.012105045152879197,0.0024023350514402095,auth_MELVILLE,genre_historical,title_THE CONFIDENCE MAN H
1,31171.896446726634,107.46900142624382,8.63,may yet world great even things much many,1: may yet world great even things much many,0.0851221860856129,0.014698268002759312,0.07473106958141795,0.13976272100916873,0.12564000489611118,0.12060628790072102,0.014831307516859382,0.06676251227700382,0.17338169333802195,0.12417119822170815,0.09587284700276748,0.016661527905292635,0.006999167962146078,0.2059482679048614,0.01613166147725691,0.07473106958141795,0.04776516056172536,0.012462003739087901,0.05970648833251655,0.007217818643459534,0.07544567219308641,0.12609446389062934,0.005487835782815105,0.01103648882569867,auth_MELVILLE,genre_gothic,title_MOBY DICK OR THE WHA
2,33686.746204979165,80.29696490781967,8.79,could seemed still moment thought room last first,2: could seemed still moment thought room last first,0.06723336209276874,0.04480105734580663,0.2083983135864107,0.17096803680146588,0.04464225077114167,0.07376734346552441,0.05267881126384419,0.1534679429286447,0.18219616447252648,0.03726131549488711,0.04706327064546083,0.011005641205260335,0.08654619455379389,0.046239453366844895,0.12967750278530774,0.2083983135864107,0.012939233129591684,0.05752114356520516,0.044469599639297495,0.03840792099800872,0.017917848052985012,0.08412383794344357,0.05914215764243433,0.032798851129492816,auth_MELVILLE,genre_historical,title_ISRAEL POTTER HIS FI
3,6452.6722004196745,19.77033900462343,7.59,anything play room part may nothing table think,3: anything play room part may nothing table think,0.03583159803926144,0.019040447661675286,0.008573637318446658,0.012758166636049085,0.009022568185333485,0.01570873646472971,0.019215308411985446,0.007353608152213594,0.010537515737820998,0.008088600480014255,0.0038946312221089744,0.01803368393245351,0.007221405623310541,0.011037365961631077,0.020924431229533007,0.008573637318446658,0.011210284296791724,0.006976828936306106,0.01937937130827045,0.006274716021082847,0.011931698729459475,0.06902270229528527,0.07632886711956079,0.0030628428379662447,auth_AUSTEN,genre_travel,title_MANSFIELD PARK
4,14256.594832251287,39.92286444908954,7.84,ye old said see dont go say well,4: ye old said see dont go say well,0.023341925541782157,0.0025606738417928827,0.0583135204499131,0.022471671181962406,0.05865941598387071,0.0459559360975202,0.002575804689213656,0.006028257367563151,0.02784173446710905,0.041536992275863306,0.016964284384658183,0.0005711860159773592,0.003246649502814863,0.12974700736777608,0.002723696520455401,0.0583135204499131,0.030195106335202063,0.00027028051743816666,0.0573225702403346,0.0007515877457954883,0.0038320320830284977,0.023638635462482353,0.002854300946218039,0.00561498676262251,auth_MELVILLE,genre_sea,title_MOBY DICK OR THE WHA
5,22103.721639844935,58.1335529171177,8.85,little island two among could every many however,5: little island two among could every many however,0.18651037866545148,0.0060886556154930715,0.024217416709499978,0.006752032783761105,0.03227562078675644,0.06589194948057513,0.006363460654577347,0.4928395971058947,0.006127294267639725,0.013969669047774204,0.052666514895883025,0.0016743130064156761,0.008678523767488592,0.016932443290423115,0.009049458294659087,0.024217416709499978,0.24020074852118667,0.010615964665427705,0.03003564262266265,0.005609851314356393,0.006332730376027138,0.02186811471939229,0.008074194383802524,0.003741067059340926,auth_MELVILLE,genre_travel,title_TYPEE A ROMANCE OF T
6,18804.6982939706,81.09131887121997,8.15,said lord us cried king old yet many,6: said lord us cried king old yet many,0.013721541779064657,0.002395926541146938,0.02648259763948446,0.020833252374443324,0.14672537533241514,0.09444864909617304,0.0024250513157871075,0.001525210257123756,0.025761580673586935,0.03847151361939501,0.3269981652566524,0.0023342176075699743,0.0013529977341639,0.030136352959744185,0.0027097225001732794,0.02648259763948446,0.008760166831060436,0.0022167353780289203,0.03000032827857131,0.002588495800313607,0.014332932701998485,0.02284940863997953,7.53320142259551e-05,7.103125320590266e-05,auth_MELVILLE,genre_sea,title_MARDI AND A VOYAGE T
7,26411.61064221715,57.865199489509685,8.63,said good little well say friend way know,7: said good little well say friend way know,0.16370277401480055,0.010591078481477468,0.11237387731323152,0.03436779391051684,0.02567774643755641,0.06353366045075015,0.011561641037041994,0.019706571541401992,0.0379898139521104,0.015308593235879537,0.028625090827526404,0.005562390389005662,0.0067478066863306384,0.021293231024681548,0.021048107305946924,0.11237387731323152,0.0277005793786403,0.024323523307874916,0.03829688830277251,0.004805352498973662,0.01703460039138461,0.3420144500621415,0.013555080214369934,0.01285969305659149,auth_MELVILLE,genre_travel,title_THE CONFIDENCE MAN H
8,8625.165210950798,24.258204798388515,7.72,us could soon side exclaimed come along lay,8: us could soon side exclaimed come along lay,0.05937393783907029,0.00809449340574923,0.010909072371762672,0.00701306565771112,0.01642763941787742,0.02539443481910578,0.008002800006432968,0.10336935990173945,0.006987638773346645,0.00621192751661172,0.02723190278668724,0.007127516971160142,0.0064021403572234485,0.008193333659726396,0.0071065709744062835,0.010909072371762672,0.08879355405250983,0.002876141989764339,0.016034669323305252,0.00674878291436467,0.0384204103620583,0.01594890584315042,0.006230218721417455,0.002517323189368221,auth_MELVILLE,genre_travel,title_TYPEE A ROMANCE OF T
9,24878.898362105494,76.76199614009276,8.34,whale sea boat ship white head water two,9: whale sea boat ship white head water two,0.029300377386298933,0.00039609162416806137,0.0571645119549145,0.009815403830735864,0.13447202238201364,0.09016383761519836,0.0003674675663897452,0.029571137512091106,0.012460659214082877,0.06155861833873903,0.09739989904957083,0.0005711860136774464,0.00014597682925853546,0.2850231813289694,8.769048552426812e-05,0.0571645119549145,0.036000923316292774,0.0005337293137296738,0.046793013242626406,0.00010943856592613219,0.0005041619067899456,0.023093148380338623,0.0006641388943416743,0.00046971791557918655,auth_MELVILLE,genre_sea,title_MOBY DICK OR THE WHA
